Well,Date,Oil_Calday,Oil_Cum
01-02,12/1/1987,432,13.38
01-02,1/1/1988,518,29.44
01-02,2/1/1988,452,42.56
01-02,3/1/1988,446,56.39
01-02,4/1/1988,450,69.87
01-02,5/1/1988,456,84.00
01-02,6/1/1988,445,97.33
01-02,7/1/1988,401,109.76
01-02,8/1/1988,415,122.63
01-02,9/1/1988,324,132.33
01-02,10/1/1988,403,144.82
01-02,11/1/1988,387,156.44
01-02,12/1/1988,375,168.06
01-02,1/1/1989,339,178.55
01-02,2/1/1989,368,188.85
01-02,3/1/1989,369,200.28
01-02,4/1/1989,371,211.40
01-02,5/1/1989,354,222.37
01-02,6/1/1989,357,233.08
01-02,7/1/1989,248,240.77
01-02,8/1/1989,336,251.20
01-02,9/1/1989,301,260.23
01-02,10/1/1989,326,270.33
01-02,11/1/1989,328,280.18
01-02,12/1/1989,358,291.27
01-02,1/1/1990,329,301.49
01-02,2/1/1990,316,310.34
01-02,3/1/1990,323,320.34
01-02,4/1/1990,327,330.14
01-02,5/1/1990,316,339.95
01-02,6/1/1990,333,349.94
01-02,7/1/1990,328,360.10
01-02,8/1/1990,326,370.22
01-02,9/1/1990,323,379.90
01-02,10/1/1990,269,388.23
01-02,11/1/1990,299,397.21
01-02,12/1/1990,343,407.83
01-02,1/1/1991,352,418.73
01-02,2/1/1991,335,428.10
01-02,3/1/1991,288,437.02
01-02,4/1/1991,339,447.18
01-02,5/1/1991,374,458.79
01-02,6/1/1991,387,470.40
01-02,7/1/1991,365,481.72
01-02,8/1/1991,364,493.00
01-02,9/1/1991,362,503.86
01-02,10/1/1991,366,515.21
01-02,11/1/1991,361,526.05
01-02,12/1/1991,364,537.32
01-02,1/1/1992,361,548.52
01-02,2/1/1992,354,558.80
01-02,3/1/1992,343,569.43
01-02,4/1/1992,310,578.74
01-02,5/1/1992,298,587.99
01-02,6/1/1992,246,595.36
01-02,7/1/1992,325,605.44
01-02,8/1/1992,339,615.95
01-02,9/1/1992,326,625.74
01-02,10/1/1992,333,636.07
01-02,11/1/1992,324,645.78
01-02,12/1/1992,290,654.77
01-02,1/1/1993,301,664.09
01-02,2/1/1993,306,672.64
01-02,3/1/1993,272,681.08
01-02,4/1/1993,284,689.60
01-02,5/1/1993,312,699.26
01-02,6/1/1993,322,708.91
01-02,7/1/1993,309,718.48
01-02,8/1/1993,286,727.35
01-02,9/1/1993,295,736.21
01-02,10/1/1993,278,744.84
01-02,11/1/1993,292,753.61
01-02,12/1/1993,283,762.39
01-02,1/1/1994,283,771.17
01-02,2/1/1994,313,779.94
01-02,3/1/1994,283,788.72
01-10,11/1/1984,150,4.51
01-10,12/1/1984,192,10.45
01-10,1/1/1985,172,15.79
01-10,2/1/1985,188,21.05
